Carrier,Destination,Delay,Departure delay,Taxi-Out time,Taxi-in time,OnAir,Power,MaxSpeed,age,Fuelseat,Fuelburn,Seats,Week
WN,FLL,10,11,29,12,134,27300,473,24,2.68,3.45,160,1
WN,TPA,77,9,91,11,120,27300,473,24,2.68,3.45,160,1
WN,AUS,0,57,10,10,176,26100,473,24,2.79,2.82,126,1
WN,ABQ,9,16,31,2,221,26100,473,24,2.79,2.82,126,1
WN,MHT,7,124,34,3,60,26100,473,24,2.79,2.82,126,1
WN,GRR,44,50,24,4,74,26100,473,24,2.79,2.82,126,1
WN,CHS,67,58,78,3,74,26100,473,24,2.79,2.82,126,1
WN,MHT,0,85,8,5,59,26100,473,24,2.79,2.82,126,1
WN,DEN,0,133,12,6,195,27300,473,24,2.68,3.45,160,1
WN,BNA,0,128,17,3,85,26100,473,24,2.79,2.82,126,1
WN,SMF,12,271,41,7,304,26100,473,24,2.79,2.82,126,1
WN,SJU,42,11,18,3,266,27300,473,24,2.68,3.45,160,1
WN,CLE,0,160,10,5,56,26100,473,24,2.79,2.82,126,1
WN,ALB,0,332,9,2,69,26100,473,24,2.79,2.82,126,1
WN,BUF,0,348,15,3,47,26100,473,24,2.79,2.82,126,1
WN,MCI,0,30,11,5,136,26100,473,24,2.79,2.82,126,1
WN,ATL,0,59,13,10,85,26100,473,24,2.79,2.82,126,1
WN,PWM,1,294,18,2,76,26100,473,24,2.79,2.82,126,1
WN,MDW,0,208,15,9,90,26100,473,24,2.79,2.82,126,1
WN,ROC,0,270,14,6,46,26100,473,24,2.79,2.82,126,1
WN,MSY,3,37,16,3,134,27300,473,24,2.68,3.45,160,1
WN,DEN,0,76,11,7,207,26100,473,24,2.79,2.82,126,1
WN,FLL,0,31,10,8,130,26100,473,24,2.79,2.82,126,1
WN,TPA,12,181,11,3,110,27300,473,24,2.68,3.45,160,1
WN,CMH,0,189,12,5,52,26100,473,24,2.79,2.82,126,1
WN,MDW,6,29,12,20,94,26100,473,24,2.79,2.82,126,1
WN,PVD,0,117,11,2,58,27300,473,24,2.68,3.45,160,1
