Route,Yield,Seats,Lcl_Percent,Lcl_Fare,Miles,market_share_seats,number_of_airline,number_of_LCC
CLT-DFW,14.88749433,627.6923077,34.43629086,215,937,1,1,0
CLT-DFW,14.19423693,647.7880435,33.04174962,199,937,1,1,0
CLT-DFW,14.40957075,656.5652174,37.68789738,186,937,1,1,0
CLT-DFW,15.42078114,609.5384615,36.82738878,212,937,1,1,0
CLT-DFW,14.83457844,743.6978022,27.30492074,238.4886802,937,1,1,0
CLT-DFW,15.2634866,751.3097826,32.5320759,212.5660431,937,1,1,0
CLT-DFW,13.45031445,654.0652174,32.87998399,178.0147232,937,1,1,0
CLT-DFW,12.22082781,641.4888889,30.93408769,171.0109879,937,1,1,0
CLT-DFW,11.41961391,647.5164835,29.31230382,168.5008912,937,1,1,0
CLT-DFW,11.95304162,658.4782609,31.08243579,170.4882777,937,1,1,0
CLT-DFW,12.22243216,630,28.3845028,181.5564418,937,1,1,0
CLT-DFW,13.92610304,608.2222222,32.07157729,200,937,1,1,0
CLT-DFW,12.37946559,652.3076923,23.73847362,203.9955926,937,1,1,0
CLT-DFW,12.8044314,650.5434783,28.38252013,188.5168583,937,1,1,0
CLT-DFW,12.32697852,754.0217391,28.03205054,173.5113662,937,1,1,0
CLT-DFW,13.98115392,847.7777778,28.74263237,211.5085306,937,1,1,0
CLT-DFW,13.76626099,846.9065934,26.07050876,214.9695965,937,1,1,0
CLT-DFW,15.04802561,865.1086957,26.89852864,228.0105396,937,1,1,0
CLT-DFW,15.42130899,773.0434783,25.51966032,251,937,1,1,0
CLT-DFW,16.54178923,640,32.74601147,245.5017175,937,0.342299294,2,0
CLT-DFW,16.48799341,737.6868132,34.05362664,233.4624911,937,0.37181795,2,0
CLT-DFW,16.06229903,668.8043478,30.38775876,228.9925162,937,0.346205135,2,0
CLT-DFW,15.79516278,771.3423913,31.57468623,211.0006752,937,0.373710431,2,0
